,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,exist21,0,"(2655, 2)","(886, 2)",0.7459561339455364,0.7134099616858237,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",0,"(2655, 2)",0.7360858773065985,0.01900641152374985,0.7134539464341503,0.7626908234492934,"[0.7626908234492934, 0.7325790892325152, 0.7189148669340657, 0.7527906604829682, 0.7134539464341503]"
1,exist21,1,"(2655, 2)","(886, 2)",0.742474694678871,0.7114303959131545,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'haha18']",1,"(2655, 2)",0.7349937482249845,0.017877437934776946,0.7114550665752715,0.7569759562337466,"[0.7569759562337466, 0.7269148238131551, 0.724827498083312, 0.7547953964194374, 0.7114550665752715]"
2,exist21,2,"(2655, 2)","(886, 2)",0.7435175443630405,0.722669220945083,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'misogyny_centrogeo']",2,"(2655, 2)",0.7380146895058269,0.015003328270295022,0.7226878217403199,0.760662254005998,"[0.760662254005998, 0.7268954509177973, 0.7288049029622063, 0.7510230179028132, 0.7226878217403199]"
3,exist21,3,"(2655, 2)","(886, 2)",0.7537382700938393,0.7152618135376756,"['detoxis21_aggressiveness', 'haha21', 'metwo22']",3,"(2655, 2)",0.7379861236010166,0.017467668721871273,0.7153037420509378,0.7645650438946529,"[0.7645650438946529, 0.7306967984934086, 0.7285969844109379, 0.7507680491551458, 0.7153037420509378]"
4,exist21,4,"(2655, 2)","(886, 2)",0.7493322050487338,0.7173052362707535,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22']",4,"(2655, 2)",0.7365362687939064,0.017016416038184615,0.7173447081535317,0.7608252322162599,"[0.7608252322162599, 0.7269264462311629, 0.7248821826027709, 0.752702774765807, 0.7173447081535317]"
5,exist21,5,"(2655, 2)","(886, 2)",0.7490661359461115,0.7227969348659005,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21']",5,"(2655, 2)",0.7380059564532792,0.018211263362997346,0.7212796141296638,0.7664112388250319,"[0.7664112388250319, 0.7212796141296638, 0.7267907897678281, 0.752702774765807, 0.7228453647780653]"
6,exist21,6,"(2655, 2)","(886, 2)",0.7493322050487338,0.7172413793103448,"['davincis22', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",6,"(2655, 2)",0.7403070216185658,0.01523860762147569,0.7172885254280603,0.7608150525811771,"[0.7608150525811771, 0.736338100102145, 0.7342219697910936, 0.752871460190353, 0.7172885254280603]"
7,exist21,7,"(2655, 2)","(886, 2)",0.7424418604651164,0.7189016602809706,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",7,"(2655, 2)",0.7383935756372679,0.012680560709551437,0.7189148669340657,0.7549833887043189,"[0.7549833887043189, 0.7344595097834067, 0.7343690684415368, 0.7492410443230115, 0.7189148669340657]"
8,exist21,8,"(2655, 2)","(886, 2)",0.7389980297262659,0.7056194125159643,"['davincis22', 'haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",8,"(2655, 2)",0.7368677050458414,0.019127837704459482,0.7055620325873688,0.758800817624347,"[0.758800817624347, 0.7344482079838266, 0.7306624102154828, 0.7548650568181818, 0.7055620325873688]"
9,exist21,9,"(2655, 2)","(886, 2)",0.7435175443630405,0.7246487867177522,"['davincis22', 'meoffendes21']",9,"(2655, 2)",0.7380126817337317,0.014656291227458356,0.7246946022727274,0.7570069919154869,"[0.7570069919154869, 0.7250461058306142, 0.7285969844109379, 0.7547187242388924, 0.7246946022727274]"
10,exist21,10,"(2655, 2)","(886, 2)",0.7458136068456278,0.7039591315453384,"['detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress']",10,"(2655, 2)",0.7327572215273372,0.01947658673277897,0.7039913079602467,0.7589034876131558,"[0.7589034876131558, 0.7288049029622063, 0.7228453647780654, 0.7492410443230115, 0.7039913079602467]"
11,exist21,11,"(2655, 2)","(886, 2)",0.7458136068456278,0.7153256704980843,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",11,"(2655, 2)",0.7410933760370202,0.016862013951240075,0.7153724641025185,0.7606112777550984,"[0.7587528750319448, 0.7344595097834067, 0.7362707535121329, 0.7606112777550984, 0.7153724641025185]"
12,exist21,12,"(2655, 2)","(886, 2)",0.7446659831780182,0.7094508301404853,"['haha21', 'mexa3t18_aggress', 'misogyny_centrogeo']",12,"(2655, 2)",0.7376457580458312,0.016494310206707424,0.7094360271753034,0.7569759562337466,"[0.7569759562337466, 0.7363455809334658, 0.7344482079838266, 0.7510230179028132, 0.7094360271753034]"
13,exist21,13,"(2655, 2)","(886, 2)",0.7493322050487338,0.7171136653895274,"['meoffendes21', 'metwo22', 'haha18']",13,"(2655, 2)",0.7391228673257606,0.020302845302910613,0.7171519886363638,0.7683320031923384,"[0.7683320031923384, 0.725038304392237, 0.7266821675156635, 0.7584098728922001, 0.7171519886363638]"
14,exist21,14,"(2655, 2)","(886, 2)",0.7447336885851966,0.7151979565772669,"['davincis22', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",14,"(2655, 2)",0.7395595892641383,0.018420483729747555,0.7152268957703658,0.7643811788928133,"[0.7568931556438876, 0.7344632768361582, 0.7268334391774669, 0.7643811788928133, 0.7152268957703658]"
15,exist21,15,"(2655, 2)","(886, 2)",0.7502178192055946,0.7227969348659005,"['davincis22', 'detoxis21_aggressiveness', 'misogyny_centrogeo', 'metwo22']",15,"(2655, 2)",0.7436972855662569,0.016315393380091123,0.7228453647780653,0.7642606753065943,"[0.7607064158656149, 0.7306356577047646, 0.7400383141762452, 0.7642606753065943, 0.7228453647780653]"
16,exist21,16,"(2655, 2)","(886, 2)",0.7446659831780182,0.7170498084291188,"['haha21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",16,"(2655, 2)",0.7380339323334157,0.01402635890026805,0.717071611253197,0.7550738007380073,"[0.7550738007380073, 0.7288049029622063, 0.738196328810854, 0.7510230179028132, 0.717071611253197]"
17,exist21,17,"(2655, 2)","(886, 2)",0.7548513452688943,0.7245210727969349,"['davincis22', 'metwo22']",17,"(2655, 2)",0.7420940231804533,0.017035483128212875,0.7245302595298331,0.7701787994891443,"[0.7701787994891443, 0.7288125975315648, 0.7341577988687567, 0.7527906604829682, 0.7245302595298331]"
18,exist21,18,"(2655, 2)","(886, 2)",0.7446659831780182,0.7134099616858237,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'haha18']",18,"(2655, 2)",0.7383963658999149,0.019673206879893795,0.7134539464341503,0.7645650438946529,"[0.7645650438946529, 0.7288125975315648, 0.7267403687470055, 0.7584098728922001, 0.7134539464341503]"
19,exist21,19,"(2655, 2)","(886, 2)",0.7447011423908609,0.7150702426564495,"['detoxis21_aggressiveness', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",19,"(2655, 2)",0.7368604701137395,0.013521712993156009,0.7150487765872382,0.7531240572817774,"[0.7531240572817774, 0.7344595097834067, 0.7325715015321757, 0.7490985053840988, 0.7150487765872382]"
20,exist21,20,"(2655, 2)","(886, 2)",0.7491480635024282,0.7227330779054917,"['davincis22', 'haha21', 'misogyny_centrogeo', 'metwo22']",20,"(2655, 2)",0.7448346760552279,0.017292464489336613,0.7227705541605549,0.7683089922915107,"[0.7683089922915107, 0.7306356577047646, 0.7419046977056066, 0.7605534784137028, 0.7227705541605549]"
21,exist21,21,"(2655, 2)","(886, 2)",0.750449572094031,0.7172413793103448,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'mexa3t18_aggress', 'metwo22', 'haha18']",21,"(2655, 2)",0.7403004100971415,0.015927745864569017,0.7172885254280603,0.7626908234492934,"[0.7626908234492934, 0.7363455809334658, 0.7323056604845352, 0.752871460190353, 0.7172885254280603]"
22,exist21,22,"(2655, 2)","(886, 2)",0.7435175443630405,0.7208173690932311,"['davincis22', 'detoxis21_aggressiveness', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",22,"(2655, 2)",0.7365120213292474,0.011953051180233225,0.720843989769821,0.7531240572817774,"[0.7531240572817774, 0.7287664235648004, 0.7325031928480206, 0.7473224431818182, 0.720843989769821]"
23,exist21,23,"(2655, 2)","(886, 2)",0.7504241257783075,0.7189655172413794,"['detoxis21_aggressiveness', 'misogyny_centrogeo', 'metwo22', 'haha18']",23,"(2655, 2)",0.7391777947873737,0.015201867621156835,0.7189987249654605,0.7588761174968073,"[0.7588761174968073, 0.7306624102154828, 0.7325563248396799, 0.7547953964194374, 0.7189987249654605]"
24,exist21,24,"(2655, 2)","(886, 2)",0.7458136068456278,0.7208173690932311,"['davincis22', 'meoffendes21', 'misogyny_centrogeo', 'metwo22', 'haha18']",24,"(2655, 2)",0.7387767896361485,0.01390566043887001,0.720843989769821,0.7566444149966072,"[0.7531696100661067, 0.7344595097834067, 0.7287664235648004, 0.7566444149966072, 0.720843989769821]"
25,exist21,25,"(2655, 2)","(886, 2)",0.7413290394468944,0.707471264367816,"['mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",25,"(2655, 2)",0.7338264247208921,0.01598811436015125,0.7073964128908403,0.7531240572817774,"[0.7531240572817774, 0.7325715015321757, 0.7287895125134782, 0.7472506393861893, 0.7073964128908403]"
26,exist21,26,"(2655, 2)","(886, 2)",0.7413290394468944,0.713346104725415,"['davincis22', 'detoxis21_aggressiveness', 'mexa3t18_aggress']",26,"(2655, 2)",0.7331386768386003,0.016740972520471242,0.7133806818181818,0.7532641660015962,"[0.7532641660015962, 0.7212717058222675, 0.7247649748643813, 0.7530118556865752, 0.7133806818181818]"
27,exist21,27,"(2655, 2)","(886, 2)",0.7401083540790923,0.7189655172413794,"['davincis22', 'detoxis21_aggressiveness', 'mexa3t18_aggress', 'misogyny_centrogeo']",27,"(2655, 2)",0.7376573036758443,0.011908678388154773,0.7189987249654605,0.7531240572817774,"[0.7531240572817774, 0.736338100102145, 0.7325031928480206, 0.7473224431818182, 0.7189987249654605]"
28,exist21,28,"(2655, 2)","(886, 2)",0.7479136125220249,0.7191570881226053,"['davincis22', 'detoxis21_aggressiveness', 'haha21']",28,"(2655, 2)",0.7421882332071548,0.018517591554733457,0.7192021720227848,0.7701070292982057,"[0.7701070292982057, 0.7306929780072847, 0.7342219697910936, 0.7567170169164052, 0.7192021720227848]"
29,exist21,29,"(2655, 2)","(886, 2)",0.7457773016814278,0.7095785440613027,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21']",29,"(2655, 2)",0.738038134177694,0.02056655465997537,0.709609375,0.7645115854978164,"[0.7645115854978164, 0.7306929780072848, 0.7267403687470055, 0.7586363636363636, 0.709609375]"
30,exist21,30,"(2655, 2)","(886, 2)",0.7414397985490127,0.7172413793103448,"['mexa3t18_aggress', 'metwo22', 'haha18']",30,"(2655, 2)",0.7391329744806635,0.01789026876033234,0.7172885254280603,0.764581744666513,"[0.764581744666513, 0.7344595097834067, 0.724616368286445, 0.7547187242388924, 0.7172885254280603]"
31,exist21,31,"(2655, 2)","(886, 2)",0.7469255762472392,0.7057471264367816,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo']",31,"(2655, 2)",0.7368984974728,0.017676976159193978,0.7057544757033248,0.7548650568181818,"[0.7531240572817774, 0.7344482079838266, 0.7363006895768891, 0.7548650568181818, 0.7057544757033248]"
32,exist21,32,"(2655, 2)","(886, 2)",0.742474694678871,0.7093869731800766,"['detoxis21_aggressiveness', 'mexa3t18_aggress', 'misogyny_centrogeo', 'haha18']",32,"(2655, 2)",0.7353400933342404,0.01551907366974197,0.7093368783234282,0.7531240572817774,"[0.7531240572817774, 0.7344595097834067, 0.7306815158984907, 0.7490985053840988, 0.7093368783234282]"
33,exist21,33,"(2655, 2)","(886, 2)",0.7448572884811417,0.7096424010217114,"['haha21', 'meoffendes21', 'mexa3t18_aggress', 'metwo22', 'haha18']",33,"(2655, 2)",0.7342592167922597,0.017397582148227477,0.7096836036240735,0.7570587004401381,"[0.7570587004401381, 0.7269264462311629, 0.7266821675156635, 0.7509451661502602, 0.7096836036240735]"
34,exist21,34,"(2655, 2)","(886, 2)",0.7459768518459525,0.722860791826309,"['davincis22', 'meoffendes21', 'mexa3t18_aggress', 'metwo22', 'haha18']",34,"(2655, 2)",0.7399245564949676,0.017186621122324625,0.7229122663779486,0.7683320031923384,"[0.7683320031923384, 0.7306929780072848, 0.7267403687470055, 0.7509451661502602, 0.7229122663779486]"
35,exist21,35,"(2655, 2)","(886, 2)",0.7526247145802177,0.7171136653895274,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'metwo22', 'haha18']",35,"(2655, 2)",0.7379817886651039,0.016739915072466846,0.7171519886363638,0.7645650438946529,"[0.7645650438946529, 0.7288125975315648, 0.7304520686533786, 0.7489272446095596, 0.7171519886363638]"
36,exist21,36,"(2655, 2)","(886, 2)",0.7436744473545025,0.7153895274584929,"['mexa3t18_aggress', 'metwo22']",36,"(2655, 2)",0.7364961898544928,0.01734328469323916,0.7154330736606747,0.7589445311391686,"[0.7589445311391686, 0.7306967984934086, 0.7226878217403198, 0.7547187242388924, 0.7154330736606747]"
37,exist21,37,"(2655, 2)","(886, 2)",0.7458136068456278,0.7020434227330778,"['haha21', 'meoffendes21', 'mexa3t18_aggress']",37,"(2655, 2)",0.7346386723051734,0.02381556909172633,0.7020667613636363,0.7683484367518487,"[0.7683484367518487, 0.7231481317278192, 0.7247649748643813, 0.7548650568181818, 0.7020667613636363]"
38,exist21,38,"(2655, 2)","(886, 2)",0.7446659831780182,0.7059386973180077,"['davincis22', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",38,"(2655, 2)",0.74261506915056,0.022775998424879387,0.7059800664451827,0.7700090885853048,"[0.7626099914845302, 0.7325715015321757, 0.7419046977056066, 0.7700090885853048, 0.7059800664451827]"
39,exist21,39,"(2655, 2)","(886, 2)",0.7493539261411424,0.7284802043422733,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'metwo22', 'haha18']",39,"(2655, 2)",0.7376108544498698,0.014823639467480823,0.7210580117556862,0.7608252322162599,"[0.7608252322162599, 0.7288049029622063, 0.7210580117556862, 0.7488308076407388, 0.7285353176744582]"
40,exist21,40,"(2655, 2)","(886, 2)",0.7559639485241236,0.7151979565772669,"['metwo22', 'haha18']",40,"(2655, 2)",0.7425046325840439,0.019779248367074207,0.7152268957703658,0.7720763257501853,"[0.7720763257501853, 0.7325790892325152, 0.7360760032946122, 0.7565648488725412, 0.7152268957703658]"
41,exist21,41,"(2655, 2)","(886, 2)",0.7445448050622576,0.7170498084291188,"['davincis22', 'meoffendes21', 'misogyny_centrogeo']",41,"(2655, 2)",0.7388028672432657,0.01762277764488642,0.717071611253197,0.7605534784137028,"[0.758800817624347, 0.7268954509177973, 0.7306929780072848, 0.7605534784137028, 0.717071611253197]"
42,exist21,42,"(2655, 2)","(886, 2)",0.7414397985490127,0.7172413793103448,"['mexa3t18_aggress', 'metwo22', 'haha18']",42,"(2655, 2)",0.7391329744806635,0.01789026876033234,0.7172885254280603,0.764581744666513,"[0.764581744666513, 0.7344595097834067, 0.724616368286445, 0.7547187242388924, 0.7172885254280603]"
43,exist21,43,"(2655, 2)","(886, 2)",0.7458136068456278,0.7078544061302682,"['davincis22', 'detoxis21_aggressiveness', 'haha21', 'meoffendes21', 'mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",43,"(2655, 2)",0.7415059674532558,0.020376861375256603,0.7078948769364541,0.7644313523681081,"[0.7607064158656149, 0.7344293695131683, 0.7400678225829336, 0.7644313523681081, 0.7078948769364541]"
44,exist21,44,"(2655, 2)","(886, 2)",0.7459328222676785,0.7153256704980843,"['haha21', 'mexa3t18_aggress', 'metwo22']",44,"(2655, 2)",0.7383483009137072,0.016475679644333042,0.7153724641025185,0.7608150525811771,"[0.7608150525811771, 0.7344595097834067, 0.7283038176184655, 0.7527906604829682, 0.7153724641025185]"
45,exist21,45,"(2655, 2)","(886, 2)",0.7424063901087972,0.7020434227330778,"['mexa3t18_aggress', 'haha18']",45,"(2655, 2)",0.7315929672294557,0.02007428858214062,0.7020667613636363,0.7570069919154869,"[0.7570069919154869, 0.7250227001872767, 0.7228453647780654, 0.7510230179028132, 0.7020667613636363]"
46,exist21,46,"(2655, 2)","(886, 2)",0.7423275321057385,0.7207535121328226,"['detoxis21_aggressiveness', 'meoffendes21', 'misogyny_centrogeo']",46,"(2655, 2)",0.7376339026409149,0.017449234515936975,0.7207567014412007,0.7606112777550984,"[0.7606112777550984, 0.7212796141296638, 0.7288049029622063, 0.7567170169164052, 0.7207567014412007]"
47,exist21,47,"(2655, 2)","(886, 2)",0.7504241257783075,0.7189655172413794,"['detoxis21_aggressiveness', 'misogyny_centrogeo', 'metwo22', 'haha18']",47,"(2655, 2)",0.7391777947873737,0.015201867621156835,0.7189987249654605,0.7588761174968073,"[0.7588761174968073, 0.7306624102154828, 0.7325563248396799, 0.7547953964194374, 0.7189987249654605]"
48,exist21,48,"(2655, 2)","(886, 2)",0.7470958534036751,0.7303320561941251,"['davincis22', 'detoxis21_aggressiveness', 'meoffendes21', 'metwo22', 'haha18']",48,"(2655, 2)",0.7413630847070082,0.017540696219616996,0.7228453647780654,0.7664576357754951,"[0.7664576357754951, 0.7288049029622063, 0.7228453647780654, 0.7583205325140809, 0.7303869875051929]"
49,exist21,49,"(2655, 2)","(886, 2)",0.7457773016814278,0.7095785440613027,"['detoxis21_aggressiveness', 'haha21', 'meoffendes21']",49,"(2655, 2)",0.738038134177694,0.02056655465997537,0.709609375,0.7645115854978164,"[0.7645115854978164, 0.7306929780072848, 0.7267403687470055, 0.7586363636363636, 0.709609375]"
50,exist21,50,"(2655, 2)","(886, 2)",0.754816330954977,0.722669220945083,[],50,"(2655, 2)",0.7402415181666477,0.016869961197478155,0.7226878217403199,0.7625223613595706,"[0.7625223613595706, 0.7269303201506591, 0.7303142125507438, 0.7587528750319448, 0.7226878217403199]"
